chemName,onsiteQuantUnits,onsiteQuant,onsiteQuant_date,maxOnsiteQuant,maxOnsiteQuant_date,chemConstCas,casPercent,casQuant,ehsFlag,reportFlag
Envirotherm 170WF Resin,lbs,2500,1/12/2024,2500,1/12/2024,78-000-1,,,,
Envirotherm 170WF Resin,lbs,2500,1/12/2024,2500,1/12/2024,87-000-1,,,,
Envirotherm 170WF Resin,lbs,2500,1/12/2024,2500,1/12/2024,23-555-2,,,,
Envirotherm 170WF Resin,lbs,2500,1/12/2024,2500,1/12/2024,69-777-5,,,,
Envirotherm 170WF Resin,lbs,2500,1/12/2024,2500,1/12/2024,50-000-0,,,,
trash,lbs,1000,22:42.8,1000,22:42.8,999,10.0,100.0,,
trash,lbs,1000,22:42.8,1000,22:42.8,888,5.0,50.0,,
trash,lbs,1000,22:42.8,1000,22:42.8,333,3.0,30.0,,
trash 2,lbs,150,50:55.5,150,50:55.5,193-52-0,10.0,15.0,,
trash 2,lbs,150,50:55.5,150,50:55.5,157-92-3,17.0,25.5,,
TESTCHEM,Lbs,200,2024-06-24 20:29:31.766047,200,2024-06-24 20:29:31.767043,75-86-5,5.0,10.0,FLAG,REPORT
TESTCHEM,Lbs,200,2024-06-24 20:29:31.766047,200,2024-06-24 20:29:31.767043,79-06-1,10.0,20.0,FLAG,
TESTCHEM,Lbs,200,2024-06-24 20:29:31.766047,200,2024-06-24 20:29:31.767043,107-13-1,5.0,10.0,FLAG,REPORT
TESTCHEM,Lbs,200,2024-06-24 20:29:31.766047,200,2024-06-24 20:29:31.767043,777-69-5,30.0,60.0,,
fat,55gal Drums,2500,2024-06-24 21:07:34.471449,2500,2024-06-24 21:07:34.497111,86-50-0,5.0,125.0,FLAG,REPORT
fat,55gal Drums,2500,2024-06-24 21:07:34.471449,2500,2024-06-24 21:07:34.497111,140-29-4,10.0,250.0,FLAG,REPORT
fat,55gal Drums,2500,2024-06-24 21:07:34.471449,2500,2024-06-24 21:07:34.497111,10294-34-5,0.05,1.25,FLAG,REPORT
fatter,55gal Drums,600,2024-06-25 21:13:07.596679,600,2024-06-25 21:13:07.598255,777-69-4,10.1,25.25,,
